latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
9,,0.9644438028335571,-0.01602998226881027,0.9511064529418946,,,0.9986486486486487,0.007929276775669408,0.06941024161673881,0.9986486486486487,0.001,1.0,0.0001,0.016543489068410692,0.011021903728613176,0.05337028165121336,1122.8680090002113
10,,0.9650264978408813,-0.03065902292728424,0.9503044128417969,,,1.0,0.006431230338844093,0.0634282704946157,1.0,0.001,1.0,0.0001,0.0008242372988771987,0.006145151262800838,0.0523802581671122,1077.6818979624156
11,,0.9610068798065186,-0.04330531358718872,0.9519173622131347,,,1.0,0.007705670434075433,0.06947649362924936,1.0,0.001,1.0,0.0001,0.00023674544929629002,0.009609604613050013,0.04200062397364024,1131.3666917955554
12,,0.9559727311134338,-0.020831337571144103,0.9488912582397461,,,1.0,0.007493282008815456,0.06744497660044077,1.0,0.001,1.0,0.0001,0.002446381603194085,0.010320154673143013,0.05224811386417698,1154.9191597603462
13,,0.9528478980064392,-0.025465962290763856,0.9469119071960449,,,1.0,0.007346802788811761,0.0681988896550359,1.0,0.001,1.0,0.0001,0.0004121211120061186,0.012350981916628173,0.06218159601495073,1065.5376248746304
14,,0.9522765874862671,-0.014187736809253693,0.9475270271301269,,,1.0,0.009667875960066512,0.07577089876741977,1.0,0.001,1.0,0.0001,0.0027537931274383555,0.012097281189887104,0.047979988761850306,1134.3314011032517
15,,0.9671847820281982,-0.019529877603054045,0.9518458366394043,,,1.0,0.009105487771936364,0.07464178961676521,1.0,0.001,1.0,0.0001,0.007237912662940043,0.010085231964350553,0.049661434985495904,1278.8536517169025
16,,0.9489891529083252,-0.03344416320323944,0.941223430633545,,,1.0,0.008596544007997255,0.07358634536330765,1.0,0.001,1.0,0.0001,0.0014403041159557935,0.007742606845961229,0.05025721643422101,1196.0401000976562
1,,0.80511075258255,0.006035878881812095,0.7532959938049316,,,0.18513513513513513,0.20169211722709038,0.327003643963788,0.5268018018018018,0.001,1.0,0.0001,2.5920488222225293,0.2223488758947398,0.239135135669966,502.99715196764146
2,,0.8120452165603638,0.007699190825223923,0.7375106334686279,,,1.0,0.007664105698869035,0.06705037709828969,1.0,0.001,1.0,0.0001,0.014541670315068317,0.006779960268554655,0.2111240963678102,592.3190126161318
3,,0.9592742919921875,-0.01762649565935135,0.9289788246154785,,,1.0,0.00760002393980284,0.06890473236908784,1.0,0.001,1.0,0.0001,0.0014184875123917024,0.011173929333233752,0.0604737989000372,730.6031972524282
