latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence,correlation_dis reonstructed equations,learning_rate,accuracy (individual),weight
4,,0.9397172927856445,0.00014352239668369293,0.8906311988830566,,,1.0,0.020247668188971443,0.06218154494826858,1e-05,0.6470575509844599,0.22733204399009008,0.16428250074386597,5488.073255384291,,0.01,1.0,1.0
4,,,,,,,0.021621621621621623,,,1e-05,,,,,,0.1,0.34346846846846846,1.0
4,,0.7852951288223267,0.013256935775279999,0.7447004318237305,,,0.14324324324324325,0.014146378233626081,0.06845039161475928,1e-05,2.595568476496516,0.02543497959000839,0.22842004411929362,5825.411602948163,,1e-05,0.5551801801801802,1.0
4,,0.9481686353683472,-0.020733383297920228,0.9049619674682617,,,1.0,0.011573827588880384,0.06980918162577861,1e-05,0.00597919339339274,0.008217833130746274,0.11957581945367761,2901.589543523015,,0.0001,1.0,1.0
4,,0.9855754375457764,-0.029714709520339964,0.9809667587280273,,,1.0,0.002342914729504972,0.034212254189156195,1e-05,0.0005992537364756965,0.00936544850795857,0.019027834003036086,1431.1832539326435,,0.001,1.0,1.0
4,,0.9513394832611084,-0.03631933331489563,0.8221262931823731,,,1.0,0.006776372806445973,0.06592271650159681,1e-05,0.15142035987731572,0.12432619999792124,0.26148932527851415,2616.883851747255,,0.01,1.0,1.0
4,,,,,,,0.02702702702702703,,,1e-05,,,,,,0.1,0.34684684684684686,1.0
4,,0.7000979781150818,-0.00975198894739151,0.6690306663513184,,,0.18783783783783783,0.018749072100665117,0.0762844807392842,1e-05,2.4332117003363534,0.03452598311107706,0.32239929888699503,4876.046993771115,,1e-05,0.5281531531531531,1.0
4,,0.8332545757293701,-0.01844571977853775,0.7976706027984619,,,0.9972972972972973,0.006967337067062791,0.0631253938417177,1e-05,0.02476989705669316,0.0048642053797438335,0.21965417426985664,4185.5451759132175,,0.0001,0.9979729729729729,1.0
4,,0.9882987141609192,-0.031414130330085756,0.9645281791687011,,,1.0,0.0018337294862077044,0.03390501125438793,1e-05,0.0004731487090277762,0.0024953344585122287,0.028591321126834768,1584.8520623284417,,0.001,1.0,1.0
4,,0.9222202301025391,-0.00781581476330757,0.7148850440979004,,,1.0,0.0052386612505526155,0.0552328161291174,1e-05,0.008979950742040938,0.021561736001859646,0.2455426672020474,2048.0841245908996,,0.01,1.0,1.0
4,,0.10739822685718536,,,,,0.02972972972972973,54.870977618243245,6.80278980152027,1e-05,,,,,,0.1,0.3524774774774775,1.0
4,,0.6605110764503479,-0.025076234340667726,0.6030793190002441,,,0.2648648648648649,0.010338975932147053,0.07731570682010135,1e-05,2.079684502369649,0.009886007837800158,0.3884575769707963,5889.464827254012,,1e-05,0.6015765765765766,1.0
4,,0.8687638640403748,-0.02245275229215622,0.7787144184112549,,,0.9918918918918919,0.0068782194240673165,0.05315049661172403,1e-05,0.035526063846977984,0.008637996576097165,0.26960446061314763,7421.207724081503,,0.0001,0.9918918918918919,1.0
4,,0.9816991090774536,-0.004932444542646408,0.9770908355712891,,,1.0,0.003327472145492966,0.04622461989119246,1e-05,0.0005865567237944217,0.002651882466444796,0.023067825549357646,1539.7743571513408,,0.001,1.0,1.0
4,,0.8639832735061646,-0.007729413360357285,0.7284038066864014,,,1.0,0.01845788182439031,0.10265441069731841,1e-05,0.015309145003934769,0.01283342344686389,0.2358874219494897,1658.6810665646115,,0.01,1.0,1.0
4,,0.03898968547582626,,,,,0.022972972972972974,25.53305004222973,4.23750659839527,1e-05,,,,,,0.1,0.2810810810810811,1.0
4,,0.7420423626899719,-0.018754762411117554,0.6767151832580567,,,0.17702702702702702,0.014675874967832823,0.0867087493071685,1e-05,2.4147471221717627,0.014675875546763072,0.2537862964578577,4829.852215741132,,1e-05,0.6261261261261262,1.0
4,,0.9094156622886658,0.004571821540594101,0.8738542556762695,,,1.0,0.0036459255862880398,0.04604000400852513,1e-05,0.00848805793007282,0.004998122382833547,0.10070427527298799,3953.233210383235,,0.0001,1.0,1.0
4,,0.9861023426055908,-0.028625380992889405,0.9812147140502929,,,1.0,0.002092847308597049,0.0362988162685085,1e-05,0.00030820096671468,0.005793582624441164,0.024314702362627595,1707.5796492293075,,0.001,1.0,1.0
4,,0.9543837904930115,-0.03950510025024414,0.8453257560729981,,,1.0,0.007404255867004395,0.05933871913600612,1e-05,0.610430186866103,0.9211060630308615,0.3728757846999813,1258.0813384184967,,0.01,1.0,1.0
4,,,,,,,0.04594594594594595,,,1e-05,,,,,,0.1,0.34977477477477475,1.0
